t,vm
108.000,8.142
108.200,8.101
108.400,8.080
108.600,8.060
108.800,8.039
109.000,8.019
109.200,8.039
109.400,8.098
109.600,8.057
109.800,8.017
110.000,7.958
110.200,7.978
110.400,7.978
110.600,7.958
110.800,7.979
111.000,7.939
111.200,7.960
111.400,8.019
111.600,8.019
111.800,8.019
112.000,8.019
112.200,8.019
112.400,7.999
112.600,8.018
112.800,7.999
113.000,8.058
113.200,8.077
113.400,8.037
113.600,7.977
113.800,7.898
114.000,7.919
114.200,7.880
114.400,7.861
114.600,7.863
114.800,7.844
115.000,7.846
115.200,7.828
115.400,7.829
115.600,7.791
115.800,7.754
116.000,7.717
116.200,7.739
116.400,7.722
116.600,7.725
116.800,7.688
117.000,7.651
117.200,7.655
117.400,7.619
117.600,7.622
117.800,7.626
118.000,7.650
118.200,7.693
118.400,7.696
118.600,7.659
118.800,7.623
119.000,7.627
119.200,7.670
119.400,7.693
119.600,7.696
119.800,7.719
120.000,7.643
120.200,7.666
120.400,7.630
120.600,7.673
120.800,7.637
121.000,7.680
121.200,7.623
121.400,7.588
121.600,7.552
121.800,7.557
122.000,7.501
122.200,7.566
122.400,7.590
122.600,7.574
122.800,7.618
123.000,7.701
123.200,7.664
123.400,7.608
123.600,7.632
123.800,7.695
124.000,7.757
124.200,7.760
124.400,7.723
124.600,7.725
124.800,7.728
125.000,7.731
125.200,7.694
125.400,7.637
125.600,7.582
125.800,7.566
126.000,7.531
126.200,7.535
126.400,7.540
126.600,7.584
126.800,7.568
127.000,7.612
127.200,7.577
127.400,7.680
127.600,7.683
127.800,7.686
128.000,7.689
128.200,7.653
128.400,7.656
128.600,7.699
128.800,7.742
129.000,7.744
129.200,7.747
129.400,7.749
129.600,7.692
129.800,7.755
130.000,7.757
130.200,7.740
130.400,7.742
130.600,7.785
130.800,7.806
131.000,7.828
131.200,7.790
131.400,7.753
131.600,7.775
131.800,7.797
132.000,7.819
132.200,7.801
132.400,7.763
132.600,7.785
132.800,7.807
133.000,7.849
133.200,7.870
133.400,7.852
133.600,7.813
133.800,7.815
134.000,7.857
134.200,7.878
134.400,7.859
134.600,7.900
134.800,7.882
135.000,7.863
135.200,7.864
135.400,7.826
135.600,7.887
135.800,7.849
136.000,7.850
136.200,7.792
136.400,7.854
136.600,7.875
136.800,7.916
137.000,7.877
137.200,7.858
137.400,7.939
137.600,7.940
137.800,7.940
138.000,7.941
138.200,7.922
138.400,7.942
138.600,7.903
138.800,7.924
139.000,7.944
139.200,7.866
139.400,7.847
139.600,7.869
139.800,7.850
140.000,7.832
140.200,7.814
140.400,7.816
140.600,7.817
140.800,7.799
141.000,7.742
141.200,7.725
141.400,7.688
141.600,7.691
141.800,7.734
142.000,7.677
142.200,7.640
142.400,7.644
142.600,7.746
142.800,7.690
143.000,7.673
143.200,7.676
143.400,7.719
143.600,7.682
143.800,7.705
144.000,7.708
144.200,7.691
144.400,7.655
144.600,7.638
144.800,7.642
145.000,7.606
145.200,7.590
145.400,7.574
145.600,7.598
145.800,7.582
146.000,7.606
146.200,7.650
146.400,7.614
146.600,7.637
146.800,7.581
147.000,7.605
147.200,7.550
147.400,7.594
147.600,7.697
147.800,7.739
148.000,7.782
148.200,7.823
148.400,7.786
148.600,7.748
148.800,7.731
149.000,7.694
149.200,7.697
149.400,7.700
149.600,7.742
149.800,7.666
150.000,7.669
150.200,7.633
150.400,7.716
150.600,7.738
150.800,7.721
151.000,7.704
151.200,7.707
151.400,7.690
151.600,7.693
151.800,7.657
152.000,7.640
152.200,7.644
152.400,7.667
152.600,7.670
152.800,7.693
153.000,7.696
153.200,7.719
153.400,7.742
153.600,7.744
153.800,7.707
154.000,7.730
154.200,7.713
154.400,7.676
154.600,7.759
154.800,7.781
155.000,7.862
155.200,7.824
155.400,7.885
155.600,7.866
155.800,7.848
156.000,7.869
156.200,7.851
156.400,7.872
156.600,7.834
156.800,7.776
157.000,7.758
157.200,7.741
157.400,7.684
157.600,7.628
157.800,7.770
158.000,7.713
158.200,7.676
158.400,7.640
158.600,7.643
158.800,7.686
159.000,7.808
159.200,7.751
159.400,7.813
159.600,7.854
159.800,7.915
160.000,7.936
160.200,7.877
160.400,7.858
160.600,7.899
160.800,7.841
161.000,7.882
161.200,7.903
161.400,7.924
161.600,7.885
161.800,7.866
162.000,7.868
162.200,7.928
162.400,7.889
162.600,7.851
162.800,7.872
163.000,7.933
163.200,7.894
163.400,7.895
163.600,7.896
163.800,7.877
164.000,7.938
164.200,7.939
164.400,7.919
164.600,7.980
164.800,8.000
165.000,7.980
165.200,8.020
165.400,8.000
165.600,7.920
165.800,7.862
166.000,7.923
166.200,7.903
166.400,7.924
166.600,7.925
166.800,7.985
167.000,8.005
167.200,8.045
167.400,8.064
167.600,8.063
167.800,8.102
168.000,8.062
168.200,8.041
168.400,7.981
168.600,7.982
168.800,7.962
169.000,7.923
169.200,7.943
169.400,7.924
169.600,7.925
169.800,7.926
170.000,7.966
170.200,7.966
170.400,7.947
170.600,7.967
170.800,8.007
171.000,8.007
171.200,8.066
171.400,8.026
171.600,8.105
171.800,8.084
172.000,8.024
172.200,8.004
172.400,8.004
172.600,8.024
172.800,7.964
173.000,7.964
173.200,7.965
173.400,7.945
173.600,7.966
173.800,7.946
174.000,7.947
174.200,7.947
174.400,7.968
174.600,8.047
174.800,8.047
175.000,8.026
175.200,8.066
175.400,8.025
175.600,8.104
175.800,8.143
176.000,8.122
176.200,8.101
176.400,8.100
176.600,8.079
176.800,8.039
177.000,7.999
177.200,7.959
177.400,7.920
177.600,7.940
177.800,7.941
178.000,7.942
178.200,7.942
178.400,7.864
178.600,7.845
178.800,7.847
179.000,7.809
179.200,7.810
179.400,7.792
179.600,7.775
179.800,7.797
180.000,7.819
180.200,7.781
180.400,7.823
180.600,7.904
180.800,7.865
181.000,7.886
181.200,7.907
181.400,7.967
181.600,7.948
181.800,7.948
182.000,7.969
182.200,7.949
182.400,7.930
182.600,7.970
182.800,7.931
183.000,7.912
183.200,7.893
183.400,7.914
183.600,7.875
183.800,7.896
184.000,7.877
184.200,7.898
184.400,7.820
184.600,7.802
184.800,7.824
185.000,7.865
185.200,7.886
185.400,7.887
185.600,7.829
185.800,7.870
186.000,7.872
186.200,7.813
186.400,7.855
186.600,7.876
186.800,7.838
187.000,7.859
187.200,7.861
187.400,7.862
187.600,7.844
187.800,7.885
188.000,7.906
188.200,7.926
188.400,7.947
188.600,8.027
188.800,8.026
189.000,7.967
189.200,7.947
189.400,7.928
189.600,8.008
189.800,8.047
190.000,8.106
190.200,8.046
190.400,8.006
190.600,8.065
190.800,8.025
191.000,7.985
191.200,7.926
191.400,7.907
191.600,7.987
191.800,7.987
192.000,7.948
192.200,7.889
192.400,7.910
192.600,7.910
192.800,7.892
193.000,7.873
193.200,7.874
193.400,7.816
193.600,7.838
193.800,7.859
194.000,7.821
194.200,7.842
194.400,7.784
194.600,7.806
194.800,7.789
195.000,7.810
195.200,7.852
195.400,7.873
195.600,7.815
195.800,7.856
196.000,7.798
196.200,7.800
196.400,7.743
196.600,7.726
196.800,7.728
197.000,7.731
197.200,7.813
197.400,7.854
197.600,7.896
197.800,7.916
198.000,7.897
198.200,7.879
198.400,7.880
198.600,7.881
198.800,7.942
199.000,7.942
199.200,7.923
199.400,7.924
199.600,7.905
199.800,7.886
200.000,7.887
200.200,7.868
200.400,7.870
200.600,7.851
200.800,7.833
201.000,7.874
201.200,7.895
201.400,7.916
201.600,8.016
201.800,7.976
202.000,7.917
202.200,7.918
202.400,7.958
202.600,7.978
202.800,7.959
203.000,7.900
203.200,7.881
203.400,7.823
203.600,7.805
203.800,7.846
204.000,7.808
204.200,7.770
204.400,7.753
204.600,7.755
204.800,7.797
205.000,7.839
205.200,7.821
205.400,7.822
205.600,7.864
205.800,7.826
206.000,7.847
206.200,7.829
206.400,7.890
206.600,7.891
206.800,7.951
207.000,7.893
207.200,7.854
207.400,7.875
207.600,7.837
207.800,7.779
208.000,7.781
208.200,7.803
208.400,7.785
208.600,7.807
208.800,7.829
209.000,7.851
209.200,7.832
209.400,7.834
209.600,7.875
209.800,7.817
210.000,7.858
210.200,7.860
210.400,7.901
210.600,7.862
210.800,7.824
211.000,7.826
211.200,7.827
211.400,7.869
211.600,7.890
211.800,7.891
212.000,7.971
212.200,8.031
212.400,7.951
212.600,7.972
212.800,7.952
213.000,7.972
213.200,7.953
213.400,7.894
213.600,7.855
213.800,7.817
214.000,7.819
214.200,7.821
214.400,7.882
214.600,7.863
214.800,7.904
215.000,7.885
215.200,7.946
215.400,7.966
215.600,8.006
215.800,8.026
216.000,7.986
216.200,7.927
216.400,8.007
216.600,8.027
216.800,8.006
217.000,8.026
217.200,8.006
217.400,8.006
217.600,8.006
217.800,7.986
218.000,8.026
218.200,8.026
218.400,8.045
218.600,8.084
218.800,8.024
219.000,8.024
219.200,8.043
219.400,8.043
219.600,8.062
219.800,8.042
220.000,8.042
220.200,8.081
220.400,8.100
220.600,8.039
220.800,7.999
221.000,7.920
221.200,7.941
221.400,7.922
221.600,7.942
221.800,7.943
222.000,7.943
222.200,7.944
222.400,7.984
222.600,7.984
222.800,8.063
223.000,8.023
223.200,8.023
223.400,7.983
223.600,8.082
223.800,8.062
224.000,7.982
224.200,7.982
224.400,7.982
224.600,7.943
224.800,7.943
225.000,7.944
225.200,7.984
225.400,8.004
225.600,8.024
225.800,8.024
226.000,7.984
226.200,7.964
226.400,7.945
226.600,8.024
226.800,7.965
227.000,7.945
227.200,7.886
227.400,7.947
227.600,7.967
227.800,7.948
228.000,7.948
228.200,7.949
228.400,7.930
228.600,7.970
228.800,8.030
229.000,8.010
229.200,8.009
229.400,8.029
229.600,8.029
229.800,8.009
230.000,7.989
230.200,7.930
230.400,7.891
230.600,7.892
230.800,7.853
231.000,7.795
231.200,7.857
231.400,7.898
231.600,7.919
231.800,7.919
232.000,7.920
232.200,7.921
232.400,7.882
232.600,7.903
232.800,7.944
233.000,7.984
233.200,7.944
233.400,7.965
233.600,7.965
233.800,7.965
234.000,7.926
234.200,7.966
234.400,8.006
234.600,8.006
234.800,8.006
235.000,8.085
235.200,8.045
235.400,7.985
235.600,7.946
235.800,7.946
236.000,8.026
236.200,8.026
236.400,8.045
236.600,8.005
236.800,8.025
237.000,8.025
237.200,7.985
237.400,8.005
237.600,7.985
237.800,8.005
238.000,7.965
238.200,8.005
238.400,7.985
238.600,7.906
238.800,7.868
239.000,7.909
239.200,7.890
239.400,7.871
239.600,7.872
239.800,7.953
240.000,7.953
240.200,7.973
240.400,7.974
240.600,7.934
240.800,7.955
241.000,7.995
241.200,7.975
241.400,7.975
241.600,8.015
241.800,8.035
242.000,8.034
242.200,8.014
242.400,8.014
242.600,7.994
242.800,8.054
243.000,8.113
243.200,8.131
243.400,8.130
243.600,8.168
243.800,8.107
