t,vm,vm
79.9,9.637,9.634
80,9.669,9.665
80.1,9.661,9.657
80.2,9.663,9.659
80.3,9.654,9.65
80.4,9.696,9.692
80.5,9.688,9.684
80.6,9.669,9.665
80.7,9.671,9.667
80.8,9.672,9.669
80.9,9.664,9.66
81,9.656,9.652
81.1,9.657,9.654
81.2,9.629,9.626
81.3,9.661,9.657
81.4,9.663,9.659
81.5,9.704,9.701
81.6,9.726,9.722
81.7,9.687,9.683
81.8,9.689,9.685
81.9,9.72,9.716
82,9.712,9.708
82.1,9.683,9.68
82.2,9.675,9.671
82.3,9.646,9.643
82.4,9.658,9.655
82.5,9.64,9.637
82.6,9.612,9.608
82.7,9.614,9.61
82.8,9.636,9.632
82.9,9.657,9.654
83,9.649,9.646
83.1,9.661,9.657
83.2,9.663,9.659
83.3,9.664,9.661
83.4,9.666,9.663
83.5,9.688,9.684
83.6,9.719,9.716
83.7,9.691,9.687
83.8,9.672,9.669
83.9,9.664,9.66
84,9.645,9.642
84.1,9.637,9.634
84.2,9.649,9.646
84.3,9.631,9.628
84.4,9.633,9.63
84.5,9.674,9.671
84.6,9.656,9.653
84.7,9.698,9.694
84.8,9.669,9.666
84.9,9.681,9.678
85,9.703,9.699
85.1,9.684,9.681
85.2,9.666,9.663
85.3,9.667,9.664
85.4,9.679,9.676
85.5,9.721,9.717
85.6,9.692,9.689
85.7,9.744,9.74
85.8,9.765,9.761
85.9,9.736,9.733
86,9.747,9.744
86.1,9.749,9.745
86.2,9.73,9.727
86.3,9.701,9.698
86.4,9.683,9.68
86.5,9.674,9.671
86.6,9.686,9.683
86.7,9.697,9.694
86.8,9.709,9.706
86.9,9.71,9.707
87,9.742,9.739
87.1,9.753,9.75
87.2,9.784,9.781
87.3,9.765,9.762
87.4,9.767,9.763
87.5,9.798,9.794
87.6,9.789,9.786
87.7,9.79,9.787
87.8,9.791,9.788
87.9,9.782,9.779
88,9.783,9.78
88.1,9.794,9.791
88.2,9.795,9.792
88.3,9.826,9.823
88.4,9.807,9.804
88.5,9.798,9.795
88.6,9.819,9.816
88.7,9.79,9.787
88.8,9.821,9.818
88.9,9.812,9.809
89,9.823,9.82
89.1,9.824,9.82
89.2,9.805,9.801
89.3,9.756,9.753
89.4,9.757,9.754
89.5,9.768,9.765
89.6,9.769,9.766
89.7,9.77,9.767
89.8,9.771,9.769
89.9,9.783,9.78
90,9.824,9.821
90.1,9.815,9.812
90.2,9.806,9.803
90.3,9.806,9.804
90.4,9.837,9.834
90.5,9.798,9.795
90.6,9.819,9.816
90.7,9.79,9.787
90.8,9.771,9.769
90.9,9.782,9.78
91,9.813,9.811
91.1,9.824,9.821
91.2,9.825,9.822
91.3,9.806,9.803
91.4,9.787,9.784
91.5,9.798,9.795
91.6,9.809,9.806
91.7,9.79,9.787
91.8,9.771,9.769
91.9,9.812,9.81
92,9.793,9.791
92.1,9.794,9.792
92.2,9.795,9.793
92.3,9.786,9.784
92.4,9.817,9.815
92.5,9.828,9.826
92.6,9.839,9.836
92.7,9.84,9.837
92.8,9.821,9.818
92.9,9.822,9.819
93,9.803,9.8
93.1,9.774,9.771
93.2,9.765,9.762
93.3,9.726,9.724
93.4,9.757,9.755
93.5,9.778,9.776
93.6,9.79,9.787
93.7,9.791,9.788
93.8,9.792,9.789
93.9,9.773,9.77
94,9.804,9.801
94.1,9.825,9.822
94.2,9.806,9.803
94.3,9.827,9.824
94.4,9.798,9.795
94.5,9.799,9.796
94.6,9.82,9.817
94.7,9.83,9.828
94.8,9.841,9.839
94.9,9.882,9.879
95,9.853,9.85
95.1,9.823,9.821
95.2,9.814,9.812
95.3,9.855,9.853
95.4,9.866,9.863
95.5,9.857,9.854
95.6,9.867,9.865
95.7,9.858,9.855
95.8,9.829,9.826
95.9,9.86,9.857
96,9.84,9.838
96.1,9.831,9.829
96.2,9.852,9.849
96.3,9.823,9.82
96.4,9.774,9.772
96.5,9.805,9.803
96.6,9.796,9.794
96.7,9.807,9.805
96.8,9.828,9.825
96.9,9.829,9.826
97,9.829,9.827
97.1,9.83,9.828
97.2,9.831,9.829
97.3,9.852,9.85
97.4,9.843,9.84
97.5,9.853,9.851
97.6,9.854,9.852
97.7,9.875,9.873
97.8,9.856,9.853
97.9,9.846,9.844
98,9.887,9.885
98.1,9.918,9.915
98.2,9.928,9.925
98.3,9.928,9.926
98.4,9.929,9.926
98.5,9.929,9.927
98.6,9.929,9.927
98.7,9.97,9.967
98.8,9.97,9.967
98.9,10,9.997
99,9.98,9.977
99.1,9.98,9.977
99.2,10.03,10.027
99.3,10.04,10.037
99.4,10.02,10.017
99.5,10,9.997
99.6,9.99,9.987
99.7,9.99,9.987
99.8,9.97,9.967
99.9,9.97,9.968
100,10.02,10.017
100.1,10.02,10.017
