neuron,t
7734,14.0068
6631,13.9665
9990,13.9764
6330,13.9991
4956,13.982
1968,13.9994
8161,13.9738
7101,13.9843
548,13.982
4488,13.9775
4641,13.9933
3189,13.963
2243,13.9628
5322,13.9991
2193,13.9935
5360,13.9769
656,13.9615
644,13.9627
144,13.9625
4587,13.982
8781,14.0059
474,13.973
127,13.9847
7731,13.9995
3030,13.9652
5350,13.9766
3652,13.9994
7921,14.0005
3313,14.047
8022,13.9724
7338,14.0008
3210,13.9707
8469,13.982
1112,13.9762
6371,13.9991
1949,13.9844
129,13.9848
287,13.982
343,13.9777
6365,13.9936
2391,13.9782
8959,13.9896
1119,13.9991
8148,13.9874
2221,13.9929
4299,13.9963
9160,14.005
4676,14.0015
4650,13.9897
8827,13.9842
1382,14.048
9138,13.9991
8034,13.9973
5607,14.0024
5697,14.037
9863,13.9861
2932,13.9873
1006,13.995
7245,14.047
3920,14.0281
8326,14.0069
8235,13.9994
2925,13.9994
4317,13.9977
3457,14.0059
522,13.9917
7170,13.9991
8344,14.0426
3178,14.0221
2735,14.0443
8429,13.9946
288,13.9991
9486,14.0272
7014,13.9994
3637,14.0414
1491,14.0164
6110,14.003
3660,13.9991
8014,14.0009
5559,14.0059
1925,13.9991
8059,14.047
1774,13.9991
6388,13.9994
8477,14.005
7116,14.0234
7107,14.0001
3134,14.0075
1228,14.0096
1113,13.9994
830,14.0059
258,14.0221
9230,14.0076
6911,14.0647
5822,14.0489
5497,14.0426
5015,14.0045
9354,14.0163
5056,14.015
5469,14.0367
8526,14.0059
5975,14.0313
5143,14.0221
7950,14.0224
8633,14.0055
5162,14.0204
5359,14.0402
3199,14.032
8329,14.0101
7749,14.0163
7647,14.012
6373,14.0464
6336,14.0221
3846,14.0281
3236,14.0115
3132,14.0281
2425,14.0228
2320,14.044
2080,14.0358
1778,14.0498
979,14.0228
886,14.0341
7575,14.0296
6164,14.0467
9401,14.0237
6412,14.041
8260,14.0265
4882,14.0281
8889,14.0149
3107,14.0108
1746,14.0256
7971,14.0301
9844,14.031
2557,14.0468
6316,14.0129
660,14.0255
6874,14.0259
1331,14.0476
7896,14.0725
880,14.0184
5315,14.035
393,14.0413
2231,14.0717
9152,14.0171
8156,14.0233
8413,14.0496
273,14.0336
9063,14.0254
2254,14.0411
2593,14.045
9290,14.0312
9336,14.047
2806,14.047
9056,14.0557
4249,14.0281
6547,14.033
3228,14.0725
4504,14.0267
1318,14.0281
8370,14.0579
2838,14.0255
4403,14.0805
1065,14.0437
3631,14.0406
2288,14.047
5747,14.0371
8594,14.0291
8933,14.0467
3400,14.068
2795,14.0328
2687,14.0549
2272,14.0446
1515,14.0541
9566,14.0739
6805,14.0805
8915,14.0462
5819,14.0349
5468,14.0971
2758,14.0823
6301,14.0417
6332,14.0475
8741,14.0671
5985,14.0678
8859,14.0709
