t,vm
43.949,14.567
43.971,14.651
44.082,14.670
44.151,14.719
44.157,14.815
44.253,14.844
44.254,14.943
44.263,15.037
44.320,15.093
44.322,15.192
44.329,15.287
44.430,15.310
44.440,15.402
44.523,15.438
44.559,15.510
44.566,15.605
44.615,15.667
44.628,15.757
44.678,15.817
44.737,15.871
44.743,15.966
44.775,16.040
44.819,16.105
44.834,16.193
44.845,16.284
44.896,16.343
44.946,16.402
44.967,16.484
44.990,16.566
45.051,16.615
45.096,16.678
45.179,16.709
45.190,16.800
45.270,16.833
45.285,16.920
45.303,17.005
45.467,16.366
45.494,16.444
45.496,15.942
45.496,16.142
45.507,16.234
45.544,16.304
45.567,16.384
45.581,16.473
45.639,16.526
45.694,16.580
45.860,16.543
45.965,16.556
46.264,16.411
46.265,16.510
46.286,16.592
46.289,16.691
46.301,16.181
46.308,16.274
46.343,16.346
46.352,16.439
46.356,16.535
46.387,16.610
46.522,16.598
46.538,16.685
46.594,16.738
46.612,16.823
46.722,16.831
46.759,16.299
46.782,16.381
46.813,16.456
46.828,16.543
46.855,16.621
46.855,16.721
46.871,16.808
46.882,16.898
46.935,16.353
46.949,16.442
47.088,16.429
47.141,16.484
47.206,16.531
47.215,16.624
47.246,16.698
47.284,16.766
47.318,16.838
47.323,16.934
47.347,17.013
47.413,17.058
47.433,17.140
47.456,17.221
47.474,17.305
47.478,16.801
47.699,16.717
47.741,16.782
47.886,16.761
47.927,16.826
47.953,16.904
47.969,16.991
47.971,17.089
47.977,17.184
48.000,17.264
48.025,17.343
48.066,16.807
48.090,16.887
48.104,16.975
48.249,16.953
48.270,17.035
48.338,17.077
48.352,17.165
48.403,17.221
48.424,17.303
48.489,17.347
48.533,17.409
48.604,17.448
48.604,17.547
48.618,17.635
48.673,17.086
48.753,17.119
49.001,17.008
49.010,17.100
49.037,16.577
49.046,16.669
49.145,16.687
49.167,16.769
49.173,16.264
49.181,16.357
49.246,16.404
49.436,16.349
49.471,16.420
49.495,16.501
49.496,16.600
49.521,16.679
49.600,16.713
49.661,16.762
49.680,16.846
49.856,16.799
49.864,16.892
49.918,16.947
49.975,16.998
50.036,17.047
50.065,17.122
50.076,17.212
50.131,17.265
50.201,17.305
50.218,16.790
50.247,16.866
50.282,16.937
50.288,17.032
50.365,17.066
50.384,17.149
50.398,17.237
50.489,17.260
50.495,17.355
50.502,17.448
50.547,17.509
50.670,17.502
50.703,17.572
50.707,17.669
50.713,17.764
50.724,17.855
50.758,17.924
50.840,17.951
50.860,18.032
