t,vm
22.400,16.234
22.424,16.315
22.427,16.413
22.445,16.497
22.468,16.579
22.470,16.677
22.480,16.769
22.493,16.858
22.560,16.901
22.590,16.976
22.601,17.067
22.627,17.144
22.632,17.240
22.635,17.338
22.643,17.431
22.646,17.528
22.676,17.602
22.688,17.692
22.689,17.991
22.692,17.488
22.694,17.786
22.703,17.878
22.729,17.955
22.730,18.054
22.739,17.545
22.744,17.642
22.750,17.736
22.757,17.830
22.763,17.925
22.768,18.020
22.802,18.090
22.819,18.174
22.827,18.267
22.832,17.762
22.833,17.862
22.835,17.360
22.840,17.455
22.886,17.515
22.909,17.595
22.941,17.667
22.945,17.763
22.947,17.861
22.951,17.958
22.956,18.053
22.961,18.149
22.974,18.237
23.007,17.707
23.008,17.806
23.036,17.881
23.050,17.969
23.062,18.058
23.105,18.120
23.108,18.216
23.114,18.312
23.119,18.407
23.126,18.000
23.128,17.499
23.130,17.597
23.141,17.687
23.146,17.182
23.157,17.273
23.165,17.366
23.169,17.463
23.170,17.562
23.275,16.970
23.290,17.057
23.296,17.152
23.304,17.245
23.324,17.328
23.334,17.419
23.346,17.509
23.352,17.603
23.353,17.703
23.376,17.782
23.387,17.873
23.396,17.965
23.409,18.053
23.411,18.151
23.418,17.645
23.435,17.730
23.441,17.324
23.453,17.414
23.463,17.505
23.466,17.602
23.484,17.687
23.491,17.781
23.497,17.875
23.509,17.964
23.529,17.446
23.532,17.544
23.553,17.725
23.556,17.823
23.567,17.913
23.579,18.002
23.585,18.097
23.605,18.179
23.654,18.235
23.656,18.333
23.666,18.423
23.667,17.922
23.677,18.014
23.685,18.107
23.693,18.199
23.712,17.682
23.715,17.779
23.729,17.867
23.732,17.964
23.754,18.044
23.757,17.641
23.768,17.732
23.781,17.821
23.782,18.019
23.804,18.100
23.823,18.183
23.834,17.773
23.838,17.869
23.849,17.959
23.850,18.058
23.864,18.146
23.874,18.237
23.874,18.336
23.885,18.426
23.896,18.516
23.900,18.612
23.910,18.703
23.919,18.795
23.923,18.291
23.932,18.383
23.932,18.482
23.933,18.582
23.938,18.677
23.941,18.774
23.944,18.872
23.948,18.968
23.948,19.068
23.949,19.167
23.960,19.257
23.962,19.355
23.987,19.430
23.991,18.926
24.007,19.011
24.007,19.111
24.010,19.209
24.059,19.261
24.060,19.361
24.066,19.455
24.070,19.551
24.071,19.649
24.076,19.144
24.114,19.308
24.119,19.404
24.127,19.495
24.138,19.585
24.149,19.674
24.174,19.749
24.203,19.821
24.204,19.920
24.208,20.016
24.208,10.000
26.208,10.000
26.227,10.091
